ts_start,ts_end,src_ip,dst_ip,attack_type,pkt_count,byte_count,rate_pps,rate_bps
2025-10-11 17:27:10,2025-10-11 17:27:11,10.30.186.39,10.30.187.51,SYN Flood,51,3060,65.622,31498.670
2025-10-11 17:27:11,2025-10-11 17:27:12,10.30.186.39,10.30.187.51,SYN Flood,51,6182,65.181,63207.676
2025-10-11 17:27:12,2025-10-11 17:27:12,10.30.186.39,10.30.187.51,SYN Flood,51,5206,73.328,59881.595
2025-10-11 17:27:12,2025-10-11 17:27:13,10.30.186.39,10.30.187.51,SYN Flood,51,6376,69.207,69218.330
2025-10-11 17:27:13,2025-10-11 17:27:14,10.30.186.39,10.30.187.51,SYN Flood,51,3574,65.670,36816.572
2025-10-11 17:27:13,2025-10-11 17:27:14,10.30.186.39,10.30.187.51,SYN Flood,51,5171,67.407,54676.466
2025-10-11 17:27:14,2025-10-11 17:27:15,10.30.184.227,10.30.191.255,SYN Flood,51,9528,94.545,141306.110
2025-10-11 17:27:15,2025-10-11 17:27:15,10.30.186.39,10.30.187.51,SYN Flood,51,5257,79.385,65462.963
2025-10-11 17:27:15,2025-10-11 17:27:16,10.30.186.39,10.30.187.51,SYN Flood,51,3707,73.127,42522.680
2025-10-11 17:27:16,2025-10-11 17:27:16,10.30.186.39,10.30.187.51,SYN Flood,51,4662,72.765,53212.738
2025-10-11 17:27:16,2025-10-11 17:27:17,10.30.186.39,10.30.187.51,SYN Flood,51,4194,70.041,46078.847
2025-10-11 17:27:17,2025-10-11 17:27:18,10.30.185.51,10.30.191.255,SYN Flood,51,5447,73.486,62788.331
2025-10-11 17:27:18,2025-10-11 17:27:18,10.30.186.39,10.30.187.51,SYN Flood,51,3990,60.181,37666.129
2025-10-11 17:27:18,2025-10-11 17:27:19,10.30.186.39,10.30.187.51,SYN Flood,51,3960,67.116,41690.816
2025-10-11 17:27:19,2025-10-11 17:27:20,10.30.186.39,10.30.187.51,SYN Flood,51,4536,74.758,53192.467
2025-10-11 17:27:20,2025-10-11 17:27:20,10.30.186.39,10.30.187.51,SYN Flood,51,4717,74.624,55215.858
2025-10-11 17:27:20,2025-10-11 17:27:21,10.30.186.39,10.30.187.51,SYN Flood,51,3591,75.458,42505.069
2025-10-11 17:27:21,2025-10-11 17:27:22,10.30.186.39,10.30.187.51,SYN Flood,51,5091,71.152,56820.824
2025-10-11 17:27:21,2025-10-11 17:27:22,10.30.186.39,10.30.187.51,SYN Flood,51,5465,60.695,52031.143
2025-10-11 17:27:22,2025-10-11 17:27:23,10.30.186.39,10.30.187.51,SYN Flood,51,4985,59.814,46772.081
2025-10-11 17:27:23,2025-10-11 17:27:24,10.30.186.39,10.30.187.51,SYN Flood,51,3743,82.210,48268.625
2025-10-11 17:27:24,2025-10-11 17:27:24,10.30.186.39,10.30.187.51,SYN Flood,51,3211,64.169,32321.029
2025-10-11 17:27:24,2025-10-11 17:27:25,10.30.186.39,10.30.187.51,SYN Flood,51,4985,69.844,54615.491
2025-10-11 17:30:13,2025-10-11 17:30:14,10.30.186.136,10.30.191.255,UDP Flood,51,30074,52.647,248359.817
2025-10-11 17:30:14,2025-10-11 17:30:14,10.30.186.39,10.30.187.51,UDP Flood,51,41996,67.730,446175.456
2025-10-11 17:30:14,2025-10-11 17:30:15,10.30.186.39,10.30.187.51,UDP Flood,51,47423,76.218,566975.275
2025-10-11 17:30:15,2025-10-11 17:30:15,10.30.186.39,10.30.187.51,UDP Flood,51,38038,83.207,496476.967
2025-10-11 17:30:15,2025-10-11 17:30:16,10.30.184.227,10.30.191.255,UDP Flood,51,38929,79.529,485644.516
2025-10-11 17:30:16,2025-10-11 17:30:17,10.30.186.39,10.30.187.51,UDP Flood,51,41084,76.788,494865.144
2025-10-11 17:30:16,2025-10-11 17:30:17,10.30.186.39,10.30.187.51,UDP Flood,51,35775,76.700,430420.253
2025-10-11 17:30:17,2025-10-11 17:30:18,10.30.186.39,10.30.187.51,UDP Flood,51,41618,72.289,471926.050
2025-10-11 17:30:18,2025-10-11 17:30:18,10.30.186.39,10.30.187.51,UDP Flood,51,41107,82.601,532623.194
2025-10-11 17:30:18,2025-10-11 17:30:19,10.30.185.51,10.30.191.255,UDP Flood,51,41129,85.918,554308.955
2025-10-11 17:30:19,2025-10-11 17:30:19,10.30.186.39,10.30.187.51,UDP Flood,51,38766,78.387,476668.316
2025-10-11 17:30:19,2025-10-11 17:30:20,10.30.186.39,10.30.187.51,UDP Flood,51,34504,83.019,449330.880
2025-10-11 17:30:20,2025-10-11 17:30:20,10.30.186.39,10.30.187.51,UDP Flood,51,36685,81.149,466970.966
2025-10-11 17:30:20,2025-10-11 17:30:21,10.30.186.39,10.30.187.51,UDP Flood,51,44803,69.981,491821.418
2025-10-11 17:30:21,2025-10-11 17:30:22,10.30.186.39,10.30.187.51,UDP Flood,51,43828,69.066,474829.423
2025-10-11 17:30:22,2025-10-11 17:30:22,10.30.186.39,10.30.187.51,UDP Flood,51,36989,78.697,456613.999
2025-10-11 17:30:22,2025-10-11 17:30:23,10.30.186.39,10.30.187.51,UDP Flood,51,36568,71.466,409940.137
2025-10-11 17:30:23,2025-10-11 17:30:23,10.30.186.39,10.30.187.51,UDP Flood,51,35305,71.842,397865.456
